date,humidity,temperature
2019/04/08 08:20:49,30.30,24.50
2019/04/08 08:20:56,31.90,24.40
2019/04/08 08:21:02,31.80,24.40
2019/04/08 08:21:09,31.80,24.40
2019/04/08 08:21:15,31.80,24.40
2019/04/08 08:21:22,31.70,24.30
2019/04/08 08:21:29,31.70,24.30
2019/04/08 08:21:35,31.70,24.30
2019/04/08 08:21:42,31.70,24.30
2019/04/08 08:21:48,31.70,24.20
2019/04/08 08:22:27,30.60,24.20
2019/04/08 08:22:34,34.30,24.40
2019/04/08 08:22:40,33.50,24.40
2019/04/08 08:22:47,33.00,24.40
2019/04/08 08:22:53,32.60,24.40
2019/04/08 08:23:00,32.30,24.30
2019/04/08 08:23:06,32.10,24.30
2019/04/08 08:23:13,32.00,24.30
2019/04/08 08:23:19,32.00,24.30
2019/04/08 08:23:26,31.90,24.20
2019/04/08 08:23:32,31.90,24.20
2019/04/08 08:23:39,31.90,24.20
2019/04/08 08:23:45,31.90,24.20
2019/04/08 08:23:52,32.00,24.20
2019/04/08 08:23:59,32.00,24.20
2019/04/08 08:24:05,32.00,24.10
2019/04/08 08:24:12,32.00,24.10
2019/04/08 08:24:18,32.00,24.10
2019/04/08 08:24:25,32.00,24.00
2019/04/08 08:24:31,32.00,24.00
2019/04/08 08:24:39,32.10,24.10
2019/04/08 08:24:46,32.10,24.00
2019/04/08 08:24:52,32.10,24.00
2019/04/08 08:24:59,32.10,24.00
2019/04/08 08:25:05,32.10,24.00
2019/04/08 08:25:12,32.10,24.00
2019/04/08 08:25:19,32.10,24.00
2019/04/08 08:25:25,32.10,24.00
2019/04/08 08:25:39,32.20,24.00
2019/04/08 08:25:45,32.20,23.90
2019/04/08 08:25:52,32.20,23.90
2019/04/08 08:25:59,32.30,23.90
2019/04/08 08:26:05,32.40,23.90
2019/04/08 08:26:45,32.40,23.90
2019/04/08 08:28:47,32.30,23.80
2019/04/08 08:30:47,69.00,28.00
2019/04/08 08:30:52,30.50,26.30
2019/04/08 08:30:56,99.00,26.90
2019/04/08 08:31:01,99.90,27.20
2019/04/08 08:31:05,nan,nan
2019/04/08 08:31:09,nan,nan
2019/04/08 08:31:14,99.90,27.60
2019/04/08 08:31:19,99.90,26.70
2019/04/08 08:31:23,99.90,26.40
2019/04/08 08:31:28,99.90,26.30
2019/04/08 08:31:32,99.90,26.30
2019/04/08 08:31:37,99.90,26.20
2019/04/08 08:31:41,96.20,26.10
2019/04/08 08:31:45,85.80,26.10
2019/04/08 08:31:50,69.70,26.10
2019/04/08 08:31:55,58.60,26.00
2019/04/08 08:31:59,51.30,26.00
2019/04/08 08:32:04,46.50,25.90
2019/04/08 08:32:08,42.90,25.90
2019/04/08 08:32:13,40.40,25.80
2019/04/08 08:32:17,38.50,25.80
2019/04/08 08:34:03,35.70,25.80
2019/04/08 08:34:07,49.40,25.80
2019/04/08 08:34:12,44.80,25.80
2019/04/08 08:34:16,41.00,25.90
2019/04/08 08:34:20,39.00,25.90
2019/04/08 08:35:00,37.70,25.90
2019/04/08 08:35:04,94.10,26.50
2019/04/08 08:35:09,50.70,26.30
2019/04/08 08:35:14,46.60,26.30
2019/04/08 08:35:19,43.60,26.20
2019/04/08 08:35:24,43.70,26.20
2019/04/08 08:35:49,41.20,26.10
2019/04/08 08:35:54,37.10,26.50
2019/04/08 08:35:58,39.60,26.60
2019/04/08 08:36:07,99.90,29.80
2019/04/08 08:36:11,99.90,28.50
2019/04/08 08:36:16,99.90,27.80
2019/04/08 08:36:20,99.90,27.50
2019/04/08 08:36:25,99.90,27.50
2019/04/08 08:36:29,99.90,27.50
2019/04/08 08:36:34,95.90,27.40
2019/04/08 08:36:38,85.40,27.30
2019/04/08 08:36:43,92.80,27.30
2019/04/08 08:36:47,73.20,27.30
2019/04/08 08:36:51,61.20,27.20
2019/04/08 08:36:56,53.90,27.20
2019/04/08 08:37:00,48.50,27.30
2019/04/08 08:37:05,54.10,27.40
2019/04/08 08:37:09,56.70,27.50
2019/04/08 08:37:14,50.00,27.60
2019/04/08 08:37:19,44.20,27.60
2019/04/08 08:37:24,40.40,27.60
2019/04/08 08:37:28,37.30,27.60
2019/04/08 08:37:33,35.50,27.60
2019/04/08 08:37:37,34.30,27.60
2019/04/08 08:37:42,33.40,27.60
